,analysis_sample_rate,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_mbtags,artist_mbtags_count,artist_name,artist_playmeid,artist_terms,artist_terms_freq,artist_terms_weight,audio_md5,bars_confidence,bars_start,beats_confidence,beats_start,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,release,release_7digitalid,sections_confidence,sections_start,segments_confidence,segments_loudness_max,segments_loudness_max_time,segments_loudness_start,segments_pitches,segments_start,segments_timbre,similar_artists,song_hotttnesss,song_id,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,title,track_7digitalid,track_id,year,genre
0,22050,165270,0.5817937658450281,0.4019975433642836,b'ARD7TVE1187B99BFB1',,b'California - LA',,b'e77e51a5-4761-45b3-9847-2051f811e366',"(0,)","(0,)",b'Casual',4479,"(37,)","(37,)","(37,)",b'a222795e07cd65b7a530f1346f520649',"(83,)","(83,)","(344,)","(344,)",0.0,218.93178999999998,0.247,0.0,1,0.736,-11.197000000000001,0,0.636,b'Fear Itself',300848,"(10,)","(10,)","(971,)","(971,)","(971,)","(971,)","(971, 12)","(971,)","(971, 12)","(100,)",0.6021199899057548,b'SOMZWCG12A8C13C480',218.93200000000002,"(688,)","(688,)",92.198,4,0.778,"b""I Didn't Mean To""",3401791,b'TRAAAAW128F429D538',0,Rap
2,22050,290021,0.4873567909281477,0.34342837829688244,b'ARKRRTF1187B9984DA',,b'',,b'7a273984-edd9-4451-9c4d-39b38f05ebcd',"(0,)","(0,)",b'Sonora Santanera',13951,"(10,)","(10,)","(10,)",b'fa329738005ca53715d9f7381a0d1fe3',"(291,)","(291,)","(291,)","(291,)",0.0,177.47546,0.282,0.0,8,0.643,-9.689,1,0.565,b'Las Numero 1 De La Sonora Santanera',514953,"(8,)","(8,)","(562,)","(562,)","(562,)","(562,)","(562, 12)","(562,)","(562, 12)","(100,)",,b'SOXVLOJ12AB0189215',172.304,"(582,)","(582,)",100.07,1,0.0,b'Amor De Cabaret',5703798,b'TRAAADZ128F9348C2E',0,Latin
3,22050,19072,0.6303823341467806,0.4542311565706205,b'AR7G5I41187FB4CE6C',,"b'London, England'",,b'e188a520-9cb7-4f73-a3d7-2f70c6538e92',"(3,)","(3,)",b'Adam Ant',12697,"(43,)","(43,)","(43,)",b'43cd1abd45d5a2dda16a3c65b4963bd4',"(115,)","(115,)","(462,)","(462,)",0.0,233.40363,0.0,0.0,0,0.7509999999999999,-9.013,1,0.7490000000000001,b'Friend Or Foe',287650,"(11,)","(11,)","(821,)","(821,)","(821,)","(821,)","(821, 12)","(821,)","(821, 12)","(100,)",,b'SONHOTT12A8C13493C',217.12400000000002,"(924,)","(924,)",119.29299999999999,4,0.0,b'Something Girls',3226795,b'TRAAAEF128F4273421',1982,Rock
8,22050,276891,0.4266678570694053,0.3322757465990681,b'AR8ZCNI1187B9A069B',,b'',,b'19d232b9-b4d7-4dc8-b259-bf65efb655b1',"(0,)","(0,)",b'Planet P Project',-1,"(24,)","(24,)","(24,)",b'eda960ea61211d980653d589e8e74c1d',"(93,)","(93,)","(381,)","(381,)",0.0,269.81832,5.3,0.0,4,0.7170000000000001,-13.495999999999999,1,0.652,b'Pink World',358182,"(12,)","(12,)","(912,)","(912,)","(912,)","(912,)","(912, 12)","(912,)","(912, 12)","(100,)",0.2658610492106501,b'SOIAZJW12AB01853F1',258.99,"(1523,)","(1523,)",86.64299999999999,4,0.48700000000000004,b'Pink World',3996579,b'TRAAARJ128F9320760',1984,Rock
12,22050,88523,0.5775089743252977,0.3794821702804675,b'ARL7K851187B99ACD2',,b'',,b'572d6bb7-58cc-4a96-8e5c-58eae4739190',"(0,)","(0,)",b'Andy Andy',14303,"(9,)","(9,)","(9,)",b'8f298a84c01d4892d820ff54104b7df8',"(120,)","(120,)","(485,)","(485,)",0.0,226.35057,0.0,0.0,9,0.205,-6.632000000000001,1,0.305,b'Placer & Castigo',575792,"(12,)","(12,)","(971,)","(971,)","(971,)","(971,)","(971, 12)","(971,)","(971, 12)","(100,)",0.0,b'SOMUYGI12AB0188633',221.553,"(971,)","(971,)",130.04,4,0.0,b'La Culpa',6381162,b'TRAABDL12903CAABBA',0,Latin
15,22050,3950,0.6364236449500698,0.4479354804795022,b'ARD842G1187B997376',43.648559999999996,"b'Toronto, Ontario, Canada'",-79.38533000000001,b'6b52e1be-f27a-433c-b51a-3f2d63abc2ba',"(4,)","(4,)",b'Blue Rodeo',-1,"(48,)","(48,)","(48,)",b'b2561c848c67cc8446b1433c6939addd',"(246,)","(246,)","(990,)","(990,)",0.0,491.12771,0.0,0.0,7,1.0,-8.576,1,0.8290000000000001,b'Outskirts',135122,"(17,)","(17,)","(1628,)","(1628,)","(1628,)","(1628,)","(1628, 12)","(1628,)","(1628, 12)","(100,)",0.4051157216913865,b'SOHUOAP12A8AE488E9',486.034,"(1981,)","(1981,)",119.82600000000001,4,0.7559999999999999,b'Floating',1399936,b'TRAABLR128F423B7E3',1987,Rock
18,22050,1396,0.7071997638379363,0.5134632897021558,b'ARYKCQI1187FB3B18F',,b'',,b'eeacb319-8d4c-48e0-80a0-944e71c375bf',"(0,)","(0,)",b'Tesla',7536,"(48,)","(48,)","(48,)",b'3e57f1f9670a3aa3bd8901e6eee32149',"(177,)","(177,)","(714,)","(714,)",0.0,290.29832000000005,0.145,0.0,7,0.725,-5.271,1,0.7559999999999999,b'Gold',372309,"(14,)","(14,)","(832,)","(832,)","(832,)","(832,)","(832, 12)","(832,)","(832, 12)","(100,)",0.6841361912294903,b'SOXLBJT12A8C140925',285.605,"(1428,)","(1428,)",150.062,4,0.9309999999999999,b'Caught In A Dream',4143071,b'TRAABVM128F92CA9DC',2004,Rock
23,22050,82239,0.839962768151037,0.5418889720336469,b'ARMAC4T1187FB3FA4C',40.826240000000006,"b'Morris Plains, NJ'",-74.47995,b'1bc41dff-5397-4c53-bb50-469d2c277197',"(2,)","(2,)",b'The Dillinger Escape Plan',11414,"(32,)","(32,)","(32,)",b'8c987e191b479de914ece0ece1f8fb9e',"(142,)","(142,)","(572,)","(572,)",0.0,207.77751,0.061,0.0,7,0.381,-4.263999999999999,1,0.45299999999999996,b'Miss Machine',223365,"(11,)","(11,)","(719,)","(719,)","(719,)","(719,)","(719, 12)","(719,)","(719, 12)","(100,)",0.6665278462297023,b'SOBBUGU12A8C13E95D',204.696,"(1144,)","(1144,)",166.862,4,0.0,b'Setting Fire to Sleeping Giants',2439720,b'TRAACER128F4290F96',2004,Metal
30,22050,9947,0.7068276713044582,0.4161730646266773,b'ARB29H41187B98F0EF',41.88415,b'Chicago',-87.63241,b'44fd61e1-119c-479e-8301-8ac5c77148bf',"(1,)","(1,)",b'Terry Callier',43725,"(49,)","(49,)","(49,)",b'1bcc5424889fa52e636b6ff801100c24',"(203,)","(203,)","(625,)","(625,)",0.0,342.56934,0.063,0.0,6,0.381,-11.939,1,0.5379999999999999,b'Occasional Rain',228326,"(16,)","(16,)","(897,)","(897,)","(897,)","(897,)","(897, 12)","(897,)","(897, 12)","(100,)",0.4137398358601097,b'SOGNCJP12A58A80271',333.154,"(1250,)","(1250,)",110.189,3,0.353,b'Do You Finally Need A Friend',2503960,b'TRAACPE128F421C1B9',1972,RnB
31,22050,343187,0.5605579839038146,0.4527894767522226,b'AR1Y2PT1187FB5B9CE',27.940170000000002,b'Brandon',-82.32547,b'84f3a2c3-95b4-4d4f-82d9-0e4baf4886ab',"(0,)","(0,)",b'John Wesley',-1,"(49,)","(49,)","(49,)",b'cb3a96380f2084aa94f38ca0d473d847',"(276,)","(276,)","(1106,)","(1106,)",0.0,484.62322,28.171999999999997,0.0,4,0.28300000000000003,-15.335,0,0.363,b'The Emperor Falls',463514,"(18,)","(18,)","(1565,)","(1565,)","(1565,)","(1565,)","(1565, 12)","(1565,)","(1565, 12)","(100,)",0.3775316449767025,b'SOLLHMX12AB01846DC',480.36300000000006,"(2212,)","(2212,)",138.007,4,0.893,b'The Emperor Falls',5158927,b'TRAACQT128F9331780',0,Rock
